Recording ID,ISRC,Track Title,Release Date,Pline,Cline,Duration,Preview Link,Apple Link,Apple Composer,Available Stores,YouTube URL
1479518145,AUBEC1920416,P.S,2019-09-10,,℗ 2019 JMAP,185313,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview113/v4/b1/1b/cb/b11bcb9d-a9cb-6c17-d1be-277ba3336461/mzaf_14435401871210583927.plus.aac.p.m4a,https://music.apple.com/album/p-s/1479518142?i=1479518145&uo=5,,applemusic; youtube,https://www.youtube.com/watch?v=A974919996406831
1348606415,USCGH1885107,We Want More Schools,2018-02-14,2018 Allan Harris,℗ 2018 Allan Harris,233480,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/f3/aa/25/f3aa25e6-b153-df81-7ab3-7535b423ce06/mzaf_5549022399309657076.plus.aac.p.m4a,https://music.apple.com/album/we-want-more-schools/1348606411?i=1348606415&uo=5,,youtube; applemusic; spotify; googleplay,https://www.youtube.com/watch?v=T7oSZzUsxo4
1644031946,USJ3V2146790,Broken: Overcoming,2022-09-08,,"℗ 2018 10,000 Hours",240274,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/eb/b5/18/ebb5187a-5821-13a5-aa67-42c9c959043c/mzaf_10805381248790051839.plus.aac.p.m4a,https://music.apple.com/album/broken-overcoming/1644031943?i=1644031946&uo=5,,applemusic; spotify,
1414220691,ITB551815102,Vecchie immagini,2018-07-19,2018 RKH Studio Under Exclusive License Brioche Edizioni Musicali S.r.l.,℗ 2018 RKH Studio Under Exclusive License Brioche Edizioni Musicali S.r.l.,220606,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/a4/8f/42/a48f429c-f72b-f14b-5b8b-2cb5d58e08b4/mzaf_3282411759705996178.plus.aac.p.m4a,https://music.apple.com/album/vecchie-immagini/1414219475?i=1414220691&uo=5,,pandora,
1581163408,QZK6G2157684,Shelltown Derozan (Intro),2021-08-13,2021 1321252 Records DK,℗ 2021 1321252 Records DK,158772,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/d6/52/3b/d6523ba5-4b3b-76c0-c4c6-fce373b8f7d9/mzaf_4759589601475625028.plus.aac.p.m4a,https://music.apple.com/album/shelltown-derozan-intro/1581163406?i=1581163408&uo=5,,tidal; spotify; applemusic; youtube,https://www.youtube.com/watch?v=zOuRpPAozqI
1460183597,USGZ21967447,Tell Me What's Going On,2019-04-17,2019 Essential Media Group LLC. The copyright in these sound recordings is owned by Essential Media Group LLC.,℗ 2019 Essential Media Group LLC. The copyright in these sound recordings is owned by Essential Media Group LLC.,302600,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview113/v4/5a/55/01/5a55016b-430e-145d-1018-a287097b00ee/mzaf_3693579937494868239.plus.aac.p.m4a,https://music.apple.com/album/tell-me-whats-going-on/1460183584?i=1460183597&uo=5,,iheartradio; gtl; applemusic; livexlive; amazonmusic; spotify; melodyvr; tidal; googleplay; deezer; trebel; youtube,https://www.youtube.com/watch?v=A667535696530508; https://www.youtube.com/watch?v=Tx2eCEg5WS0; https://www.youtube.com/watch?v=OfMCK1-CYjY
215147262,GBKRT0711421,Chalo Dyare Nabi Ki,2007-02-07,1996 Oriental Star Agencies Ltd,℗ 1996 Oriental Star Agencies Ltd,1191333,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview113/v4/7d/13/2e/7d132e65-430b-e251-9638-bc044d70a6e7/mzaf_5112388755576950634.plus.aac.p.m4a,https://music.apple.com/album/chalo-dyare-nabi-ki/215147217?i=215147262&uo=5,,spotify; amazonmusic; youtube; soundcloud; applemusic; tidal; googleplay,https://www.youtube.com/watch?v=6K9WHHBFmoE; https://www.youtube.com/watch?v=A306077050774390
1528997840,QZAMM1939788,Mi Amas Vin,2020-08-24,2020 Torfi Olafsson,℗ 2020 Torfi Olafsson Music,171767,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview114/v4/42/4b/e6/424be6ac-62a0-74ca-2d21-e6a5fb77b319/mzaf_11751851672769255085.plus.aac.p.m4a,https://music.apple.com/album/mi-amas-vin/1528997839?i=1528997840&uo=5,,youtube,https://www.youtube.com/watch?v=nBDmQKU3dq0; https://www.youtube.com/watch?v=A732737317238042
1443268425,GBF076700600,The Last Waltz,2018-11-18,1967 Chrysalis Copyrights Ltd.,"This Compilation ℗ 2014 Universal Music TV, a division of Universal Music Operations Ltd.",180600,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview113/v4/64/c8/48/64c848ea-7ec2-aaf7-7033-998c07b2d155/mzaf_2891847156738316175.plus.aac.p.m4a,https://music.apple.com/album/the-last-waltz/1443266680?i=1443268425&uo=5,,pandora; livexlive; soundcloud; vera; trebel; amazonmusic; applemusic; midwesttape; melodyvr; gtl; qobuz; iheartradio; deezer; youtube; tidal; spotify; mixcloud; beatport,https://www.youtube.com/watch?v=Eygyx8tsUsA; https://www.youtube.com/watch?v=4O-05DE-51g; https://www.youtube.com/watch?v=bJqDFhqb_n4; https://www.youtube.com/watch?v=EU_y1yyLUYE; https://www.youtube.com/watch?v=8vy77XOnUwM; https://www.youtube.com/watch?v=SBnCSEzAIcU; https://www.youtube.com/watch?v=7d8fzQZUpu8; https://www.youtube.com/watch?v=WJLg2dODHD0; https://www.youtube.com/watch?v=vYW48gQAqIQ; https://www.youtube.com/watch?v=vISiU5kdYjc; https://www.youtube.com/watch?v=DbEzrv01-38; https://www.youtube.com/watch?v=U2AIEqm9Wbg; https://www.youtube.com/watch?v=hkqsJIQFKNc; https://www.youtube.com/watch?v=7X1pxEB_Nw; https://www.youtube.com/watch?v=usfCMeJIbxM; https://www.youtube.com/watch?v=Qbo0KKaGzFQ; https://www.youtube.com/watch?v=zYIHlvFJfHs; https://www.youtube.com/watch?v=G_TE9AdwV2Y
514880375,JPC391200054,ヴァイオリン協奏曲第二番 ホ長調 BWV1042 第一楽章 アレグロ,2012-03-29,2011 MUSICANOVA,℗ 2011 MUSICANOVA,419027,https://audio-ssl.itunes.apple.com/itunes-assets/Music/v4/35/42/07/35420743-c694-5074-e4ce-4cf4fc4f18e3/mzaf_1157536503508084010.plus.aac.p.m4a,https://music.apple.com/album/%E3%83%B4%E3%82%A1%E3%82%A4%E3%82%AA%E3%83%AA%E3%83%B3%E5%8D%94%E5%A5%8F%E6%9B%B2%E7%AC%AC%E4%BA%8C%E7%95%AA-%E3%83%9B%E9%95%B7%E8%AA%BF-bwv1042-%E7%AC%AC%E4%B8%80%E6%A5%BD%E7%AB%A0-%E3%82%A2%E3%83%AC%E3%82%B0%E3%83%AD/514880187?i=514880375&uo=5,,amazonmusic; applemusic; googleplay; tidal; spotify,
973938120,US5UL1235530,Rise,2015-03-05,2015 Audiosparx,℗ 2015 Audiosparx,69333,https://audio-ssl.itunes.apple.com/itunes-assets/Music5/v4/75/49/cd/7549cd47-36c6-fd3e-0424-ddf18afe858d/mzaf_4245247039313088543.plus.aac.p.m4a,https://music.apple.com/album/rise/973938105?i=973938120&uo=5,,amazonmusic; googleplay; applemusic; livexlive; youtube; spotify; tidal,https://www.youtube.com/watch?v=yzDcv-nzypQ; https://www.youtube.com/watch?v=qv3RI3-lXxc
