Work ID,ISWC,Work Title,Work Alternative Titles,Linked ISRCs
L3240P,,LOCKDOWN AND LOADED,LOCKDOWN; LOCK DOWN,GBBTF0700167; USASN0540714; USQY51240891
DA272K,T9202896068,DBM PYJ BURGA BOYZ V2,DBM1125 64,
LVAJQM,,LA DOBLE VIDA DE ESTELA CARRILLO,LA DOBLE VIDA DE ESTELA CARRILLO (CUES),
AC10NE,,ALIBI-IKKIUCHI_HOLIDAY MIX,ALIBI-IKKIUCHI HOLIDAY MIX; ALIBI - IKKIUCHI_HOLIDAY MIX; ALIBI IKKIUCHI_HOLIDAY MIX; ALIBI IKKIUCHI HOLIDAY MIX; IKKIUCHI HOLIDAY MIX; ALIBI - IKKIUCHI HOLIDAY MIX; IKKIUCHI_HOLIDAY MIX,
TD5ROU,T0713415485,TIMELESS,FOREVER CLASSIC,
IV7NQB,,IK PLUK EEN STER VOOR JOU,IK PLUK N STER VOOR JOU,NLD010500009; BEC462217868
M5859M,,MIL RAM PYARE,MEL LAIH DAYAL (VOL.8),INS180704503
SH9S46,T0020716066,SHIR ERES NEGBI,SOUTHERN LULLABY,
X8995F,,SIX REASONS WHY   (MAIN TITLE),SEIS RAZOES PARA MATAR (MAIN TITLE),
KF5HDW,T9098752148,KOMORNA SIMFONIJA,EINE KAMERSINFONIE FUR DAS ROSTTOCKER NONNET (FLAUTA; OBOA;,
CV9UZZ,T3064114945,CREDIBLE,WE ARE INCREDIBLE; THE WE AREN'T CREDIBLE; WE AREN'T CREDIBLE,
B7788J,,BURUU INFARENSU,BURUU INFARENSU 2; BLUE INFERENCE; BLUE INFERENCE 2,
AVAXTQ,T9123548618,A FARM TO MARKET ROMANCE,FARM TO MARKET ROMANCE,
SC7TMI,T9053263755,SALT SCORE,SHNAIDER BLOWS,
W7583A,,THE WOMAN IN RED,WOMAN IN RED,USMO10200525
PVCGMY,,PLEASURE ISLAND OL,KPM-KPM-0076-03901; PLEASURE ISLAND; PLEASUREISLANDOL; TURKEY AND GREECE CUT 39; PLEASUREISLAND; KPM-0076-39,GBBGL8900978
MVAYXV,T9293554902,MAN IN EUI YEON IN,?????,
VV7MR6,T9093105807,VALENTIN (VALENTINE),VALENTINE,USANG2043303; ITS582008935; USA2P1433680; DELM41504480; USA2P1874922; USHM20377258; ITS581806450; QM9A91648503
DVAN86,T3057884392,DO WHAT U WANT,DO WHAT YOU WANT,
M5890I,,MEHAK JALA DEHIYA,LAGAL HAI PYAR KE BOKHAR; HUMAR BIHAE TOHARE SE HOIE,
O26732,,OM JAI KALADHARI HARE,AARTIYAAN,INL239010006; INS180484613
H2044Q,T7000230786,HOT BANANA,HOT BANANA,US6R21347272; USA371401960; FR6V81297731; UK8D41414128; GBGNB9641406; GBJUT1302017; GBJUT0800649; GBBHN0300007; GBGNB9541012; GBLGL1070953
GE24UF,T3015353427,GONDERMEYIN ELE BENI,ELE BENI; YUVASIZ BIR KUSA DONDUM,QMDA62235169; TR1250801159
L5607W,T0701023962,THE LONELY ONES,LOS SOLITARIOS,USRE10601459; USRE19600087; USRE19902583; USWB19902583
EV8SWE,,ERAVIL VIRIYUM POOPOLE (KARAOKE),ERAVIL VIRIYUM POOPOLE KARAOKE,
MVA0U3,T3058055855,ME AND DAN AND THE SPOON MAN,ME & DAN & THE SPOON MAN,USHM20471470; QMPVZ1700403; USHM20471449
VB0K5R,T0399417389,VAI QUE COLA,VAI QUE COLA,
