Work ID,Work ISWC,Party ID,Party IPI Name,Party Full Name,Party Role
J1051G,,1550109,6134232,HENRI MARIUS CHRISTINE,Composer
TV8DNG,,1178992,,YOON SHIK NA,Composer
I9466M,T9144069125,884239,708682912,GETTY MUSIC PUBLISHING,OriginalPublisher
S6732B,,950832,55141306,USHA KHANNA,Composer
IV7R1Y,T0465035953,905415,463700859,TRUELOVE MUSIC INTERNATIONAL,RightsAdministrator
P44078,,1417646,283939028,HENRIC PER HUGO UHRBOM,Composer
MV9HTC,,1697119,,JEFFREY ZWARA,Composer
BVBLXS,,1087526,826585999,LUFT NACH OBEN EDITION,OriginalPublisher
HVBMI2,T9290028249,1160996,558963494,JUDSON KENTON LEE,ComposerLyricist
V0451V,,1544806,,JOHN CROFTON HARLE,Composer
H2413E,T0006146662,103975,265196545,BALE'WA M MUHAMMAD,ComposerLyricist
YV8DQL,,1078890,,LITTLE BIG DEAL MUSIC,OriginalPublisher
Z5231S,,1170576,,SHENG MIN QIANG,Composer
MVASVE,T0114252424,1577262,158401284,SERGIO DELLA MONICA,Composer
KF5HDW,T9098752148,1507304,,BORIS PAPANDOPULO,Composer
BVCAGY,,1554490,65397646,ANDY IRVINE,ComposerLyricist
RA3MU6,,474574,354871538,LABRADOR GOOD MUSIC,OriginalPublisher
SB1BQ1,,4745524,,ALEXANDER GECKO,ComposerLyricist
P7868L,T1066511019,2364886,,RONALD SEITL,ComposerLyricist
YD0F25,T9236836707,2597769,669438495,ENVER GUNEN,Arranger
WB4FU1,,2725764,,KOSINUS APM,SubPublisher
FVB5HJ,T7025908389,2725764,,KOSINUS APM,RightsAdministrator
WA9I59,T3031704840,2727452,,SONGS OF DECIBEL,OriginalPublisher
SVGVDT,,3845288,339131083,CHRIS RIDENHOUR,Composer
S6732B,,2374202,,NIDA FAZIL,Composer
GE24UF,T3015353427,2582136,281837051,MEHMET SERIF KAYRAN,Composer
TD5KMG,T0724194595,333340,67013200,RICHARD LAWRENCE WOLF,ComposerLyricist
H2413E,T0006146662,340445,260379760,CHRISTIAN LARS KARLSSON,ComposerLyricist
YV7ZV5,T3057846734,324425,291596430,CRAIG JOSEPH WRIGHT,ComposerLyricist
SVGXTY,T9103788563,359118,126843667,DAVID JOHN VANACORE,Composer
P7868L,T1066511019,2521668,,TOMAS DOLEZAL,ComposerLyricist
MV89GO,T9167660404,2533951,666042152,KATHRYN CLOWARD,ComposerLyricist
F3099J,,2553570,,TREVOR MCFEDRIES,ComposerLyricist
K1752P,,2558344,,V.SURYANARAYANA RAO,Composer
BA4AN8,,2725836,443476156,SONOTON APM,OriginalPublisher
CVC5PN,T9028939788,2758042,128935550,LUIS CRISTOBAL CONTE,Composer
MVCRS5,T8014918232,2821512,,MUSIKVERLAG SELECTED SOUND GMB,OriginalPublisher
RA5ZMW,T3005234486,2862146,,KAPAGAMA,OriginalPublisher
SC0520,,2972718,803377056,BMG RIGHTS MANAGEMENT (AUSTRALIA) PTY LTD,OriginalPublisher
WA9I59,T3031704840,350671,235358958,ANTHONY HOWARD RAMEY,ComposerLyricist
WV9I64,T3058834832,380112,,ANTHONY SHEPHERD,ComposerLyricist
BVATVS,,3872340,,LUTHIER,ComposerLyricist
DVCZGJ,,2725825,,SELECTED SOUND APM,RightsAdministrator
CV7KQ1,T9154661004,2727739,719510938,RUMINATING MUSIC,OriginalPublisher
BVD1E3,,2743502,,BIG LIFT MUSIC,OriginalPublisher
RVBS3D,,2937252,712067964,B LION MUSIC,OriginalPublisher
JV862K,T3061283265,327155,291601378,STEPHEN LESLIE MAYONE,ComposerLyricist
NVCP7H,,348733,,KEVIN ELLIS,Composer
AVDPRL,T9158206509,2839352,706304769,LEMONCAKE MUSIC LIMITED,OriginalPublisher
KA0NK0,T7024863423,2888681,68216962,JOSEPH FRANCOIS KREMER,ComposerLyricist
TC66ZW,T9305829770,3188417,759737188,PROMISED LAND MUSIC LTD,OriginalPublisher
C7782I,,381421,279599292,PIERRE BOUVIER,Composer
P44078,,3854683,,ZOPP,Composer
IC5TGA,T0709058876,2370567,17876851,SAMMY LERNER,ComposerLyricist
CA0KKT,T2008042267,2539195,198608519,MAURIZIO BILANCIONI,Composer
DA2C8G,,2768650,,PY RANDALL EUGENE,ComposerLyricist
GA1069,T0700677800,320402,72148978,CHICK RAINS,ComposerLyricist
