Work ID,Work ISWC,Party ID,Party IPI Name,Party Full Name,Party Role
M5859M,,710288,538724724,UNIVERSAL MUSIC-MGB SONGS,RightsAdministrator
O26732,,710288,538724724,UNIVERSAL MUSIC-MGB SONGS,RightsAdministrator
VV7MR6,T9093105807,723699,,VOX TIGRIS PUB,OriginalPublisher
WV7RTN,,979283,731625850,ETHAN JAMES GALLOWAY,Composer
JV7SRN,,978726,538083542,DAVID JULIAN KIRCHNER,Composer
I19488,T0714971615,869187,,JIZ FAT MUSIC,OriginalPublisher
I19488,T0714971615,848578,436418947,WET INK RED MUSIC,OriginalPublisher
M3212N,,771234,601712397,"CONCORD MUSIC GROUP, INC. DBA CONCORD SOUNDS",OriginalPublisher
L5136S,T0114186876,883307,576134244,BMG RIGHTS MANAGEMENT (UK) LTD,OriginalPublisher
YV8F4D,T0616930303,1084989,433666647,KATRINA LEANN BURGOYNE,ComposerLyricist
Z5134K,,917222,,CHANG XIA YIN YUE,OriginalPublisher
TD1QDS,,951251,148116777,KAMIL TCHALAEV,ComposerLyricist
X8133R,T0023938626,955423,551184464,LUDWIG AXEL LINDELL,ComposerLyricist
S2875N,,771482,,HID MUSIC,OriginalPublisher
IV7NQB,,910354,263286262,TENYOR MUSIC,OriginalPublisher
DB19DT,,926076,60796953,WC MUSIC CORP,RightsAdministrator
MVCA18,T0724179503,1176965,79320566,JONATHAN MICHEAL RICHMAN,Composer
MVAYXV,T9293554902,1299080,284515846,JI HOON OH,Composer
SD9K2C,,2815642,,BRUMM JAMES HART,Lyricist
SD9K2C,,2813544,434374658,ITEKE PRINS,Composer
M3212N,,3831067,262017597,ROBERT SPRAGG,ComposerLyricist
P3127K,,2680835,,MARCEL CUGURNO JEAN PAUL,Composer
BV9UQG,T3149046828,318359,193891622,JOHN BRANDON CARTA,ComposerLyricist
L3240P,,3923874,264753546,JAKE BLACK,Composer
C8695W,,443179,560395838,ALL YOU NEED IS SONGS,OriginalPublisher
LA9ZQI,T9287420295,433910,404843081,BRENNAN FITZHUGH JOHNSTON,ComposerLyricist
AC14EV,,4607209,669363500,ALIBI GENERATOR,OriginalPublisher
YV8F4D,T0616930303,403011,481313864,DEE STAFFORD BRIGGS,ComposerLyricist
